Solar_elevation,Solar_Azimuth_CW_of_N
-58.3870958883524,331.076102647258
-58.8144229756389,333.596253669337
-59.2050844851954,336.168386666448
-59.5575578407362,338.789609941804
-59.870403102893,341.456363520787
-60.1422864958607,344.164419886767
-60.3720040442013,346.908905081445
-60.5585044640701,349.684341888651
-60.7009103787969,352.484715623969
-60.7985369135415,355.303561625027
-60.8509067781321,358.134072004251
-60.8577610744681,0.969217747937933
-60.819065259416,3.80188099654322
-60.7350099416637,6.62499147974677
-60.6060064691537,9.43166072163945
-60.4326775461965,12.2153078237885
-60.2158433787817,14.9697713525475
-59.9565040591683,17.6894030033109
-59.655819049578,20.369140141189
-59.3150847013812,23.0045558520276
-58.9357107512869,25.5918866124027
-58.5191966782452,28.128038964433
-58.0671086980245,30.610577568253
-57.5810580334742,33.0376976595356
-57.0626809441209,35.4081852646758
-56.5136208439627,37.7213685616505
-55.9355126925752,39.9770635794363
-55.3299697200091,42.1755170734507
-54.6985724445456,44.3173489648974
-54.0428598654407,46.4034962464446
-53.3643226591495,48.4351597799308
-52.6643981745485,50.4137549750822
-51.944467006873,52.3408669598883
-51.2058509277682,54.2182105415257
-50.4498119564612,56.0475950119345
-49.6775523714419,57.8308936696197
-48.8902154805702,59.570017801239
-48.0888869881184,61.2668947838968
-47.2745968183827,62.9234499231073
-46.4483212760039,64.5415916228496
-45.6109854423567,66.1231994863789
-44.7634657248299,67.6701149627097
-43.9065924913439,69.1841341792065
-43.0411527359779,70.6670026315221
-42.1678927331815,72.1204114354236
-41.2875206478498,73.5459948786549
-40.4007090767077,74.9453290435682
-39.5080975031835,76.3199313018555
-38.6102946534163,77.6712605108506
-37.7078807454389,79.0007177660752
-36.8014096270455,80.3096475874594
-35.89141080057,81.5993394362106
-34.9783913348681,82.8710294766632
-34.0628376663466,84.1259025121975
-33.1452172919978,85.3650940370295
-32.2259803581687,86.5896923564226
-31.3055611492776,87.8007407369896
-30.384379480945,88.9992395563642
-29.4628420020742,90.1861484279004
-28.5413434103228,91.3623882813325
-27.6202675851911,92.528843384684
-26.6999886426006,93.6863632963226
-25.7808719143912,94.8357647388439
-24.863274855578,95.9778333890257
-23.9475478815046,97.113325579769
-23.0340351361532,98.2429699115771
-22.123075191778,99.3674687722321
-21.2150016786556,100.487499764278
-20.3101438419662,101.603717040574
-19.408827020482,102.716752548724
-18.5113730385845,103.827217185533
-17.618100498788,104.935701862905
-16.7293249558395,106.042778486743
-15.8453589446812,107.14900085053
-14.9665118216757,108.254905445191
-14.093089359169,109.361012187004
-13.2253930038356,110.467825065102
-12.3637186627205,111.575832710151
-11.5083548059305,112.68550888567
-10.6595795506981,113.797312903407
-9.81765617911269,114.91168996409
-8.98282616547416,116.029071424815
-8.15529809514838,117.149874994283
-7.3352295157955,118.274504857067
-6.52269602635534,119.403351728089
-5.71763595716159,120.53679283852
-4.91974499171981,121.6751918543
-4.12825878681501,122.818898728718
-3.34145516161281,123.968249490462
-2.55533862899923,125.123565968816
-1.75935040986329,126.285155457886
-0.916512141261827,127.453310321991
0.0880839659622855,128.628307544673
0.694146793376025,129.810408224179
1.31597881682892,130.999857018629
1.94564844688551,132.196881544622
2.57692123920747,133.401691733484
3.20506577850941,134.614479149979
3.82666272274238,135.835416278914
4.43941837431122,137.064655785594
5.04198412176381,138.302329756983
5.63380427142139,139.54854893089
6.21215237531831,140.803401921325
6.77660762157547,142.066954448861
7.32644094071196,143.339248585466
7.86100151812206,144.62030202397
8.3796974521926,145.910107382901
8.88198328366772,147.208631557922
9.36735099467147,148.515815131583
9.83532339379583,149.83157185335
10.2854493061819,151.155788202107
10.7173001474373,152.488323043262
11.130467553636,153.829007392549
11.5245618129696,155.17764429813
11.89921090377,156.53400885212
12.2540599900475,157.897848341823
12.5887712611085,159.268882549961
12.9030240283252,160.646804211925
13.1965150117943,162.031279636573
13.4689587641503,163.421949495435
13.720088189543,164.818429783258
13.9496551238027,166.220312950764
14.1574309478524,167.627169208283
14.3432072110322,169.038547996616
14.5067962446883,170.453979619048
14.648031749215,171.872977026159
14.7667693402774,173.295037742625
14.8628870420178,174.719645922998
14.9362857169632,176.146274521386
14.9868894241408,177.574387558011
15.0146456985739,179.003442464012
15.0195257470021,180.432892484511
15.0015245562631,181.862189118944
14.9606609124004,183.290784577009
14.8969773301525,184.718134228306
14.8105398940732,186.143699023865
14.7014380141911,187.566947868217
14.56978410063,188.987359921589
14.4157131633385,190.404426812956
14.2393823447001,191.817654746207
14.0409703945201,193.226566483513
13.8206770987543,194.63070319196
13.5787226753388,196.029626141715
13.3153471527911,197.422918246308
13.0308097499463,198.810185437978
12.725388278489,200.191057873421
12.3993785940993,201.565190967629
12.0530941274086,202.932266255759
11.6868655330115,204.291992085142
11.3010405043305,205.644104141436
10.8959838147549,206.988365814837
10.472077662878,208.324568413723
10.0297224229282,209.652531234518
9.56933793283392,210.972101497663
9.09136549382263,212.283154160502
8.59627080896744,213.5855916185
8.0845481550939,214.879343306705
7.55672616547594,216.164365213591
7.01337571988712,217.44063931947
6.45512072527014,218.708172971553
5.88265374931343,219.966998207511
5.29676433318772,221.217171038941
4.69835468448322,222.458770705751
4.08988817180475,223.691898911837
3.47190221324571,224.916679051829
2.84626432701994,226.133255438023
2.21588924343387,227.34179253591
1.58492285213686,228.54247421602
0.958931234938258,229.735503029082
0.345093424750154,230.92109951085
-0.506143863634559,232.099501522264
-1.40851265391079,233.270963629987
-2.21651233672925,234.43575653181
-3.00475021634426,235.594166530835
-3.79044271490923,236.746495061876
-4.5795124186364,237.89305827309
